1390	2	مباحث ویژه 1 (ریاضی) (118118گروه2 )	4	PhD	دانشکده علوم ریاضی
1390	2	مباحث ویژه 2 (ریاضی) (118119گروه1 )	4	PhD	دانشکده علوم ریاضی
1390	2	نظریه گروه‌های متناهی (118145گروه1 )	4	PhD	دانشکده علوم ریاضی
1390	1	جبر 1 (22013گروه1 )	4	كارشناسي	دانشکده علوم ریاضی
1390	1	پروژه کارشناسی (22099گروه4 )	3	كارشناسي	دانشکده علوم ریاضی
1390	1	تاریخ علم ریاضی (22111گروه1 )	2	كارشناسي	دانشکده علوم ریاضی
1390	1	سمینار (ریاضی)                           (115104گروه2 )	2	كارشناسي ارشد	دانشکده علوم ریاضی
1390	1	سمینار (ریاضی)                           (115104گروه4 )	2	كارشناسي ارشد	دانشکده علوم ریاضی
1390	1	نظریه جبری گراف (115172گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1390	1	آنالیز ترکیبی 2 (118121گروه1 )	4	PhD	دانشکده علوم ریاضی
1390	1	نظریه جبری گراف (118143گروه1 )	4	PhD	دانشکده علوم ریاضی
1389	2	سمینار (ریاضی)                           (115104گروه5 )	2	كارشناسي ارشد	دانشکده علوم ریاضی
1389	2	مباحث ویژه 1 (115138گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1389	2	آنالیز ترکیبی 1 (115140گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1389	2	مباحث ویژه 1 (ریاضی) (118118گروه1 )	4	PhD	دانشکده علوم ریاضی
1389	2	آنالیز ترکیبی 1 (118120گروه1 )	4	PhD	دانشکده علوم ریاضی
1389	1	جبر 1 (22013گروه1 )	4	كارشناسي	دانشکده علوم ریاضی
1389	1	تاریخ علم ریاضی (22111گروه1 )	2	كارشناسي	دانشکده علوم ریاضی
1389	1	فاصله در گراف‌ها (115186گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1388	2	جبر 1 (22013گروه1 )	4	كارشناسي	دانشکده علوم ریاضی
1388	2	فلسفه علم ریاضی (22107گروه1 )	2	كارشناسي	دانشکده علوم ریاضی
1388	2	سمینار (ریاضی)                           (115104گروه6 )	2	كارشناسي ارشد	دانشکده علوم ریاضی
1388	2	نظریه گراف                               (115159گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1388	1	جبر 1 (22013گروه1 )	4	كارشناسي	دانشکده علوم ریاضی
1388	1	سمینار (ریاضی)                           (115104گروه5 )	2	كارشناسي ارشد	دانشکده علوم ریاضی
1388	1	مباحثی در نظریه گروه‌های متناهی (115181گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1388	1	فاصله در گراف‌ها (115186گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1388	1	مباحثی در نظریه گروه‌های متناهی (118153گروه1 )	4	PhD	دانشکده علوم ریاضی
1388	1	فاصله در گراف‌ها (118161گروه1 )	4	PhD	دانشکده علوم ریاضی
1387	2	مبانی ریاضیات (22004گروه2 )	4	كارشناسي	دانشکده علوم ریاضی
1386	2	جبر 3 (22025گروه1 )	4	كارشناسي	دانشکده علوم ریاضی
1386	2	آزمایشگاه ریاضی 1 (22103گروه1 )	1	كارشناسي	دانشکده علوم ریاضی
1386	2	آزمایشگاه ریاضی 2 (22105گروه1 )	1	كارشناسي	دانشکده علوم ریاضی
1386	2	تاریخ علم ریاضی (22111گروه1 )	2	كارشناسي	دانشکده علوم ریاضی
1386	2	سمینار (ریاضی)                           (115104گروه1 )	2	كارشناسي ارشد	دانشکده علوم ریاضی
1386	2	نظریه گراف                               (115159گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1386	2	نظریه گراف (118142گروه1 )	4	PhD	دانشکده علوم ریاضی
1386	1	جبر 3 (22025گروه1 )	4	كارشناسي	دانشکده علوم ریاضی
1386	1	آزمایشگاه ریاضی 1 (22103گروه1 )	1	كارشناسي	دانشکده علوم ریاضی
1386	1	آزمایشگاه ریاضی 2 (22105گروه1 )	1	كارشناسي	دانشکده علوم ریاضی
1386	1	گروه‌های جایگشتی (115175گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1386	1	مباحثی ویژه در گروه‌های متناهی یا نامتناهی (115182گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1386	1	گروه‌های جایگشتی (118112گروه1 )	4	PhD	دانشکده علوم ریاضی
1386	1	مباحثی ویژه در گروه‌های متناهی یا نامتناهی (118154گروه1 )	4	PhD	دانشکده علوم ریاضی
1385	2	تاریخ علم ریاضی (22111گروه1 )	2	كارشناسي	دانشکده علوم ریاضی
1385	2	نظریه گراف                               (115159گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1385	1	گروه‌های خطی (115137گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1384	2	زبان تخصصی ریاضی (22106گروه1 )	2	كارشناسي	دانشکده علوم ریاضی
1384	2	تاریخ علم ریاضی (22111گروه1 )	2	كارشناسي	دانشکده علوم ریاضی
